source,target,relation,source_name,target_name,description
ai_infrastructure_industry,ai_industry,is_a,人工智能基础设施,人工智能,
ai_terminal_industry,ai_industry,is_a,人工智能终端,人工智能,
ai_application_industry,ai_industry,is_a,人工智能应用,人工智能,
ai_infrastructure_industry,ai_terminal_industry,supply_to,人工智能基础设施,人工智能终端,基础设施和大模型支撑AI终端落地。
ai_terminal_industry,ai_application_industry,supply_to,人工智能终端,人工智能应用,智能终端承载并扩散AI应用。
semiconductor_chip_industry,ai_infrastructure_industry,is_a,半导体与芯片,人工智能基础设施,
ai_server_industry,ai_infrastructure_industry,is_a,AI服务器,人工智能基础设施,
cloud_service_industry,ai_infrastructure_industry,is_a,云计算服务,人工智能基础设施,
large_model_industry,ai_infrastructure_industry,is_a,大模型,人工智能基础设施,
semiconductor_chip_industry,ai_server_industry,supply_to,半导体与芯片,AI服务器,芯片、存储、PCB等供给AI服务器。
ai_server_industry,aidc_industry,supply_to,AI服务器,智算中心,AI服务器是智算中心提供AI计算能力的核心硬件。
aidc_industry,cloud_service_industry,supply_to,智算中心,云计算服务,智算中心承载云计算和AI云服务。
cloud_service_industry,large_model_industry,supply_to,云计算服务,大模型,云服务和算力支撑大模型训练与推理。
chip_design_industry,semiconductor_chip_industry,is_a,芯片设计,半导体与芯片,
wafer_foundry_industry,semiconductor_chip_industry,is_a,晶圆代工,半导体与芯片,
semiconductor_equipment_industry,semiconductor_chip_industry,is_a,半导体设备,半导体与芯片,
semiconductor_material_industry,semiconductor_chip_industry,is_a,半导体材料,半导体与芯片,
packaging_testing_industry,semiconductor_chip_industry,is_a,封装测试,半导体与芯片,
compute_chip_industry,chip_design_industry,is_a,算力芯片,芯片设计,
storage_chip_industry,chip_design_industry,is_a,存储芯片,芯片设计,
storage_controller_chip_industry,chip_design_industry,is_a,存储主控芯片,芯片设计,
memory_interface_chip_industry,chip_design_industry,is_a,内存接口及互连芯片,芯片设计,
eda_industry,chip_design_industry,is_a,EDA,芯片设计,
cpu_chip_industry,compute_chip_industry,is_a,CPU芯片,算力芯片,
gpu_chip_industry,compute_chip_industry,is_a,GPU/GPGPU芯片,算力芯片,
fpga_chip_industry,compute_chip_industry,is_a,FPGA芯片,算力芯片,
asic_chip_industry,compute_chip_industry,is_a,ASIC芯片,算力芯片,
riscv_chip_industry,compute_chip_industry,is_a,RISC-V芯片,算力芯片,
advanced_logic_process_industry,wafer_foundry_industry,is_a,先进逻辑工艺,晶圆代工,
special_process_industry,wafer_foundry_industry,is_a,特色工艺,晶圆代工,
coater_developer_equipment_industry,semiconductor_equipment_industry,is_a,涂胶显影设备,半导体设备,
semiconductor_parts_industry,semiconductor_equipment_industry,is_a,半导体设备零部件,半导体设备,
heat_treatment_equipment_industry,semiconductor_equipment_industry,is_a,热处理设备,半导体设备,
semiconductor_vacuum_pump_industry,semiconductor_equipment_industry,is_a,半导体真空泵,半导体设备,
photoresist_stripping_equipment_industry,semiconductor_equipment_industry,is_a,去胶设备,半导体设备,
silicon_wafer_material_industry,semiconductor_material_industry,is_a,硅片,半导体材料,
electronic_special_gas_industry,semiconductor_material_industry,is_a,电子特气,半导体材料,
precursor_material_industry,semiconductor_material_industry,is_a,前驱体材料,半导体材料,
photoresist_material_industry,semiconductor_material_industry,is_a,光刻胶,半导体材料,
wet_electronic_chemical_industry,semiconductor_material_industry,is_a,湿电子化学品,半导体材料,
etch_silicon_material_industry,semiconductor_material_industry,is_a,刻蚀设备用硅材料,半导体材料,
semiconductor_target_material_industry,semiconductor_material_industry,is_a,半导体靶材,半导体材料,
cmp_slurry_industry,semiconductor_material_industry,is_a,CMP抛光液,半导体材料,
advanced_packaging_industry,packaging_testing_industry,is_a,先进封装,封装测试,
storage_module_industry,packaging_testing_industry,is_a,存储模组,封装测试,
packaging_material_industry,packaging_testing_industry,is_a,封装材料,封装测试,
advanced_packaging_coater_developer_industry,advanced_packaging_equipment_industry,is_a,先进封装用涂胶显影设备,先进封装设备,
inspection_metrology_equipment_industry,advanced_packaging_equipment_industry,is_a,检测量测设备,先进封装设备,
hybrid_bonding_equipment_industry,advanced_packaging_equipment_industry,is_a,混合键合设备,先进封装设备,
wafer_dicing_equipment_industry,advanced_packaging_equipment_industry,is_a,划切设备,先进封装设备,
electroplating_solution_additive_industry,packaging_material_industry,is_a,电镀液及添加剂,封装材料,
packaging_substrate_industry,packaging_material_industry,is_a,封装基板,封装材料,
eda_industry,wafer_foundry_industry,supply_to,EDA,晶圆代工,
semiconductor_equipment_industry,wafer_foundry_industry,supply_to,半导体设备,晶圆代工,
semiconductor_material_industry,wafer_foundry_industry,supply_to,半导体材料,晶圆代工,
chip_design_industry,wafer_foundry_industry,supply_to,芯片设计,晶圆代工,
wafer_foundry_industry,packaging_testing_industry,supply_to,晶圆代工,封装测试,
advanced_packaging_equipment_industry,advanced_packaging_industry,supply_to,先进封装设备,先进封装,
packaging_material_industry,advanced_packaging_industry,supply_to,封装材料,先进封装,
compute_chip_industry,ai_server_industry,supply_to,算力芯片,AI服务器,
storage_chip_industry,ai_server_industry,supply_to,存储芯片,AI服务器,
storage_controller_chip_industry,ai_server_industry,supply_to,存储主控芯片,AI服务器,
memory_interface_chip_industry,ai_server_industry,supply_to,内存接口及互连芯片,AI服务器,
storage_module_industry,ai_server_industry,supply_to,存储模组,AI服务器,
optical_network_industry,ai_server_industry,is_a,光网络,AI服务器,
optical_device_industry,ai_server_industry,is_a,光器件,AI服务器,
optical_module_industry,ai_server_industry,is_a,光模块,AI服务器,
signal_transmission_industry,ai_server_industry,is_a,信号传输,AI服务器,
communication_equipment_industry,ai_server_industry,is_a,通信设备,AI服务器,
power_supply_industry,ai_server_industry,is_a,电源,AI服务器,
pcb_industry,ai_server_industry,is_a,PCB,AI服务器,
server_storage_industry,ai_server_industry,is_a,服务器存储设备,AI服务器,
operating_system_industry,ai_server_industry,is_a,操作系统软件,AI服务器,
computing_infrastructure_industry,aidc_industry,is_a,算力基础设施服务,智算中心,
optical_network_industry,ai_server_industry,supply_to,光网络,AI服务器,
optical_device_industry,ai_server_industry,supply_to,光器件,AI服务器,
optical_module_industry,ai_server_industry,supply_to,光模块,AI服务器,
signal_transmission_industry,ai_server_industry,supply_to,信号传输,AI服务器,
communication_equipment_industry,ai_server_industry,supply_to,通信设备,AI服务器,
power_supply_industry,ai_server_industry,supply_to,电源,AI服务器,
liquid_cooling_industry,ai_server_industry,supply_to,液冷,AI服务器,
pcb_industry,ai_server_industry,supply_to,PCB,AI服务器,
server_storage_industry,ai_server_industry,supply_to,服务器存储设备,AI服务器,
operating_system_industry,ai_server_industry,supply_to,操作系统软件,AI服务器,
gpu_chip_industry,ai_server_industry,supply_to,GPU/GPGPU芯片,AI服务器,
cpu_chip_industry,ai_server_industry,supply_to,CPU芯片,AI服务器,
fpga_chip_industry,ai_server_industry,supply_to,FPGA芯片,AI服务器,
asic_chip_industry,ai_server_industry,supply_to,ASIC芯片,AI服务器,
ai_server_industry,computing_infrastructure_industry,supply_to,AI服务器,算力基础设施服务,
computing_infrastructure_industry,cloud_service_industry,supply_to,算力基础设施服务,云计算服务,
cloud_large_model_industry,large_model_industry,is_a,云侧大模型,大模型,
edge_large_model_industry,large_model_industry,is_a,端侧大模型,大模型,
data_training_industry,large_model_industry,is_a,数据标注与训练数据服务,大模型,
data_security_industry,large_model_industry,is_a,数据安全产品,大模型,
data_storage_industry,large_model_industry,is_a,数据存储服务,大模型,
language_large_model_industry,cloud_large_model_industry,is_a,语言大模型,云侧大模型,
vision_large_model_industry,cloud_large_model_industry,is_a,视觉大模型,云侧大模型,
multimodal_large_model_industry,cloud_large_model_industry,is_a,多模态大模型,云侧大模型,
general_large_model_industry,multimodal_large_model_industry,is_a,通用大模型,多模态大模型,
industry_large_model_industry,multimodal_large_model_industry,is_a,行业大模型,多模态大模型,
vertical_large_model_industry,multimodal_large_model_industry,is_a,垂直大模型,多模态大模型,
phone_large_model_industry,edge_large_model_industry,is_a,手机大模型,端侧大模型,
pc_large_model_industry,edge_large_model_industry,is_a,PC大模型,端侧大模型,
data_training_industry,cloud_large_model_industry,supply_to,数据标注与训练数据服务,云侧大模型,
data_security_industry,cloud_large_model_industry,supply_to,数据安全产品,云侧大模型,
data_storage_industry,cloud_large_model_industry,supply_to,数据存储服务,云侧大模型,
cloud_service_industry,cloud_large_model_industry,supply_to,云计算服务,云侧大模型,
cloud_large_model_industry,edge_large_model_industry,supply_to,云侧大模型,端侧大模型,云侧大模型能力沉淀并压缩适配到端侧。
ai_phone_industry,ai_terminal_industry,is_a,AI手机,人工智能终端,
aipc_industry,ai_terminal_industry,is_a,AIPC,人工智能终端,
intelligent_driving_industry,ai_terminal_industry,is_a,智能驾驶,人工智能终端,
humanoid_robot_industry,ai_terminal_industry,is_a,人形机器人,人工智能终端,
phone_memory_industry,ai_phone_industry,supply_to,手机存储器,AI手机,
phone_ai_chip_industry,ai_phone_industry,supply_to,手机AI芯片,AI手机,
npu_industry,ai_phone_industry,supply_to,NPU,AI手机,
phone_camera_industry,ai_phone_industry,supply_to,手机摄像,AI手机,
pcb_industry,ai_phone_industry,supply_to,PCB,AI手机,
phone_heat_dissipation_industry,ai_phone_industry,supply_to,手机散热,AI手机,
phone_large_model_industry,ai_phone_industry,supply_to,手机大模型,AI手机,
aipc_memory_industry,aipc_industry,supply_to,AIPC存储器,AIPC,
aipc_chip_industry,aipc_industry,supply_to,AIPC芯片,AIPC,
aipc_equipment_industry,aipc_industry,supply_to,AIPC整机设备,AIPC,
aipc_heat_dissipation_industry,aipc_industry,supply_to,AIPC散热,AIPC,
pc_large_model_industry,aipc_industry,supply_to,PC大模型,AIPC,
gnss_industry,intelligent_driving_industry,supply_to,GNSS,智能驾驶,
imu_industry,intelligent_driving_industry,supply_to,IMU,智能驾驶,
lidar_industry,intelligent_driving_industry,supply_to,激光雷达,智能驾驶,
millimeter_wave_radar_industry,intelligent_driving_industry,supply_to,毫米波雷达,智能驾驶,
vehicle_camera_industry,intelligent_driving_industry,supply_to,车载摄像头,智能驾驶,
